
NorNE_ne_CF_MATRIX_NO_O_nbailab-base-ner-scandi_seed_101
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,64,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
I-DRV,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I-EVT,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,401,0,8,0,9,0,0,0,4,0,0,0,1,2
I-GPE_LOC,0,0,0,0,0,74,0,1,0,2,0,0,0,0,0,0,0,0
B-GPE_ORG,2,0,0,0,21,0,38,0,0,0,0,0,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,12,0,0,0,145,0,0,0,4,0,8,0,0,0
I-LOC,0,0,0,0,0,1,0,0,2,60,0,0,0,2,1,14,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,1,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
B-ORG,2,0,2,0,0,0,0,0,11,0,0,0,431,2,11,0,22,0
I-ORG,0,0,0,1,6,0,0,0,0,5,0,0,6,180,0,5,0,7
B-PER,1,0,0,0,1,0,0,0,1,0,0,0,8,0,936,1,3,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,501,0,0
B-PROD,1,0,0,0,0,0,1,0,2,0,0,0,11,0,9,0,82,0
I-PROD,0,0,0,0,3,0,0,0,4,0,0,0,0,1,1,4,8,55

NorNE_ne_CF_MATRIX_NO_O_nbailab-base-ner-scandi_seed_1024
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,59,2,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
I-DRV,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
I-EVT,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_LOC,0,1,0,0,404,0,6,0,12,0,0,0,2,0,0,0,1,1
I-GPE_LOC,0,0,0,0,0,75,0,0,0,2,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,22,0,38,0,0,0,0,0,1,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,9,0,0,0,156,0,0,0,3,0,4,0,0,0
